CLASS_QNAME;OT_NOPA
org.apache.commons.io.LineIterator;0.0
org.apache.commons.io.input.ObservableInputStream;0.0
org.apache.commons.io.comparator.AbstractFileComparator;0.0
org.apache.commons.io.input.ReaderInputStream;0.0
org.apache.commons.io.input.XmlStreamReaderException;0.0
org.apache.commons.io.FileCleaningTracker$Tracker;0.0
org.apache.commons.io.serialization.RegexpClassNameMatcher;0.0
org.apache.commons.io.EndianUtils;0.0
org.apache.commons.io.output.FileWriterWithEncoding;0.0
org.apache.commons.io.input.CloseShieldInputStream;0.0
org.apache.commons.io.filefilter.EmptyFileFilter;2.0
org.apache.commons.io.input.XmlStreamReader;1.0
org.apache.commons.io.filefilter.NotFileFilter;0.0
org.apache.commons.io.filefilter.TrueFileFilter;2.0
org.apache.commons.io.input.ReversedLinesFileReader$FilePart;0.0
org.apache.commons.io.input.ObservableInputStream$Observer;0.0
org.apache.commons.io.filefilter.AgeFileFilter;0.0
org.apache.commons.io.serialization.ValidatingObjectInputStream;0.0
org.apache.commons.io.CopyUtils;0.0
org.apache.commons.io.IOExceptionWithCause;0.0
org.apache.commons.io.DirectoryWalker;0.0
org.apache.commons.io.output.ByteArrayOutputStream;0.0
org.apache.commons.io.ByteOrderParser;0.0
org.apache.commons.io.HexDump;1.0
org.apache.commons.io.input.ProxyReader;0.0
org.apache.commons.io.comparator.ExtensionFileComparator;6.0
org.apache.commons.io.filefilter.DirectoryFileFilter;2.0
org.apache.commons.io.IOUtils;7.0
org.apache.commons.io.filefilter.SuffixFileFilter;0.0
org.apache.commons.io.output.ProxyWriter;0.0
org.apache.commons.io.input.NullInputStream;0.0
org.apache.commons.io.comparator.LastModifiedFileComparator;2.0
org.apache.commons.io.TaggedIOException;0.0
org.apache.commons.io.input.UnixLineEndingInputStream;0.0
org.apache.commons.io.FileCleaningTracker;0.0
org.apache.commons.io.filefilter.DelegateFileFilter;0.0
org.apache.commons.io.input.Tailer;0.0
org.apache.commons.io.filefilter.AndFileFilter;0.0
org.apache.commons.io.input.TeeInputStream;0.0
org.apache.commons.io.input.BoundedReader;0.0
org.apache.commons.io.input.WindowsLineEndingInputStream;0.0
org.apache.commons.io.output.ChunkedOutputStream;0.0
org.apache.commons.io.input.CharSequenceReader;0.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream;0.0
org.apache.commons.io.comparator.DefaultFileComparator;2.0
org.apache.commons.io.filefilter.NameFileFilter;0.0
org.apache.commons.io.output.StringBuilderWriter;0.0
org.apache.commons.io.serialization.FullClassNameMatcher;0.0
org.apache.commons.io.output.TeeOutputStream;0.0
org.apache.commons.io.input.BOMInputStream$1;0.0
org.apache.commons.io.output.XmlStreamWriter;0.0
org.apache.commons.io.Charsets;6.0
org.apache.commons.io.output.CountingOutputStream;0.0
org.apache.commons.io.input.InfiniteCircularInputStream;0.0
org.apache.commons.io.output.DeferredFileOutputStream;0.0
org.apache.commons.io.comparator.CompositeFileComparator;0.0
org.apache.commons.io.output.ChunkedWriter;0.0
org.apache.commons.io.FileUtils;15.0
org.apache.commons.io.output.BrokenOutputStream;0.0
org.apache.commons.io.input.SwappedDataInputStream;0.0
org.apache.commons.io.output.TaggedOutputStream;0.0
org.apache.commons.io.comparator.SizeFileComparator;4.0
org.apache.commons.io.input.NullReader;0.0
org.apache.commons.io.filefilter.WildcardFilter;0.0
org.apache.commons.io.output.NullOutputStream;1.0
org.apache.commons.io.output.LockableFileWriter;0.0
org.apache.commons.io.filefilter.WildcardFileFilter;0.0
org.apache.commons.io.comparator.DirectoryFileComparator;2.0
org.apache.commons.io.output.WriterOutputStream;0.0
